"SUBSTANCE_GROUP","SUBSTANCE","SUBSTANCE_CAS"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-PROPANAMINIUM, N-(2-HYDROXYETHYL)-N,N-DIMETHYL-3-[(3-SULFOPROPYL)[(TRIDECAFLUOROHEXYL)SULFONYL]AMINO]-, INNER SALT","38850-58-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-PROPANESULFONIC ACID, 3-[[3-(DIMETHYLAMINO)PROPYL][(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]-2-HYDROXY-, MONOSODIUM SALT","94133-90-1"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-PROPANESULFONIC ACID, 3-[[3-(DIMETHYLAMINO)PROPYL][(TRIDECAFLUOROHEXYL)SULFONYL]AMINO]-2-HYDROXY-, MONOSODIUM SALT","73772-32-4"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-(METHYL-(1,1,2,2,3,3,4,4,4-NONAFLUOROBUTYLSULFONYL)AMINO)ETHYL PROP-2-ENOATE","70776-36-2"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-METHYL-, 2-[ETHYL[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]ETHYL ESTER","376-14-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-METHYL-, 2-[ETHYL[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]ETHYL ESTER, TELOMER WITH 2-[ETHYL[(NONAFLUOROBUTYL)SULFONYL]AMINO]ETHYL 2-METHYL-2-PROPENOATE, 2-[ETHYL[(PENTADECAFLUOROHEP","68867-62-9"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-METHYL-, 2-[[(HEPTADECAFLUOROOCTYL)SULFONYL]METHYLAMINO]ETHYL ESTER","14650-24-9"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-METHYL-, 2-[[(HEPTADECAFLUOROOCTYL)SULFONYL]METHYLAMINO]ETHYL ESTER, POLYMER WITH 2-[METHYL[(NONAFLUOROBUTYL)SULFONYL]AMINO]ETHYL 2-METHYL-2-PROPENOATE, 2-[METHYL[(PENTADECAFLUORO","68555-92-0"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-METHYL-, METHYL ESTER, POLYMER WITH ETHENYLBENZENE, 2-[[(HEPTADECAFLUOROOCTYL)SULFONYL]METHYLAMINO]ETHYL 2-PROPENOATE, 2-[METHYL[(NONAFLUOROBUTYL)SULFONYL]AMINO]ETHYL 2-PROPENOATE","71487-20-2"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-METHYL-, POLYMERS WITH BU METHACRYLATE, LAURYL METHACRYLATE AND  2-[METHYL[(PERFLUORO-C4-8-ALKYL)SULFONYL]AMINO]ETHYL METHACRYLATE","127133-66-8"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-[BUTYL[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]ETHYL ESTER","383-07-3"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-[BUTYL[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]ETHYL ESTER, TELOMER WITH 2-[BUTYL[(PENTADECAFLUOROHEPTYL)SULFONYL]AMINO]ETHYL 2-PROPENOATE, M","68298-62-4"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-[ETHYL[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]ETHYL ESTER","423-82-5"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-[[(HEPTADECAFLUOROOCTYL)SULFONYL]METHYLAMINO]ETHYL ESTER","25268-77-3"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-[[(HEPTADECAFLUOROOCTYL)SULFONYL]METHYLAMINO]ETHYL ESTER, POLYMER WITH 2-[METHYL[(NONAFLUOROBUTYL)SULFONYL]AMINO]ETHYL 2-PROPENOATE, 2-[METHYL[(PENTADECAFLUOROHEPTYL)SULFONYL]AMIN","68867-60-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, 2-[[(HEPTADECAFLUOROOCTYL)SULFONYL]METHYLAMINO]ETHYL ESTER, TELOMER WITH 2-[METHYL[(NONAFLUOROBUTYL)SULFONYL]AMINO]ETHYL 2-PROPENOATE, .ALPHA.-(2-METHYL-1-OXO-2-PROPENYL)-.OMEGA.-HY","68586-14-1"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, EICOSYL ESTER, POLYMER WITH 2-[[(HEPTADECAFLUOROOCTYL)SULFONYL]METHYLAMINO]ETHYL 2-PROPENOATE, HEXADECYL 2-PROPENOATE, 2-[METHYL[(NONAFLUOROBUTYL)SULFONYL]AMINO]ETHYL 2-PROPENOATE,","68329-56-6"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-PROPENOIC ACID, POLYMER WITH 2-[ETHYL[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]ETHYL 2-METHYL-2-PROPENOATE AND OCTADECYL 2-PROPENOATE","68541-80-0"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","2-[METHYL [(PENTADECAFLUOROHEPTYL) SULFONYL] AMINO]ETH","68909-15-9"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","AMMONIUM HEPTADECAFLUOROOCTANESULPHONATE","29081-56-9"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","BENZOIC ACID, 2,3,4,5-TETRACHLORO-6-[[[3-[[(HEPTADECAFLUOROOCTYL)SULFONYL]OXY]PHENYL]AMINO]CARBONYL]-, MONOPOTASSIUM SALT","57589-85-2"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","CHROMIUM, DIAQUATETRACHLORO[.MU.-[N-ETHYL-N-[(HEPTADECAFLUOROOCTYL)SULFONYL]GLYCINATO-.KAPPA.O:.KAPPA.O']]-.MU.-HYDROXYBIS(2-METHYLPROPANOL)DI-","68891-96-3"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","CYCLOHEXANESULFONIC ACID, DECAFLUORO(PENTAFLUOROETHYL)-, POTASSIUM SALT","67584-42-3"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","CYCLOHEXANESULFONIC ACID, NONAFLUOROBIS(TRIFLUOROMETHYL)-, POTASSIUM SALT","68156-01-4"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","FATTY ACIDS, C18-UNSATD., TRIMERS, 2-[METHYL[(NONAFLUOROBUTYL)SULFONYL]AMINO]ETHYL ESTERS","148240-79-3"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","FATTY ACIDS, C18-UNSATD., TRIMERS, 2-[METHYL[(PENTADECAFLUOROHEPTYL)SULFONYL]AMINO]ETHYL ESTERS","148240-82-8"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","FATTY ACIDS, C18-UNSATD., TRIMERS, 2-[METHYL[(TRIDECAFLUOROHEXYL)SULFONYL]AMINO]ETHYL ESTERS","148240-80-6"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","FATTY ACIDS, C18-UNSATD., TRIMERS, 2-[METHYL[(UNDECAFLUOROPENTYL)SULFONYL]AMINO]ETHYL ESTERS","148240-81-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","FATTY ACIDS, C18-UNSATD., TRIMERS, 2-[[(HEPTADECAFLUOROOCTYL)SULFONYL]METHYLAMINO]ETHYL ESTERS","148240-78-2"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","HEPTADECAFLUORO-1-OCTANESULFONIC ACID, COMPD. WITH DIETHANOLAMINE","70225-14-8"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","LITHIUM PERFLUOROOCTANE SULFONATE","29457-72-5"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","OCTADECYL 2-METHYLPROP-2-ENOATE","68555-91-9"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","PERFLUOROOCTANE SULFONIC ACID","1763-23-1"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","POLY(OXY-1,2-ETHANEDIYL), .ALPHA.-[2-[ETHYL[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]ETHYL]-.OMEGA.-HYDROXY-","29117-08-6"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","POLY(OXY-1,2-ETHANEDIYL), .ALPHA.-[2-[ETHYL[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]ETHYL]-.OMEGA.-METHOXY-","68958-61-2"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","POTASSIUM PERFLUOROOCTANESULFONATE","2795-39-3"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","Pentadecafluorooctanoic acid","335-67-1"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","SULFONAMIDES, C4-8-ALKANE, PERFLUORO, N-(HYDROXYETHYL)-N-METHYL, REACTION PRODUCTS WITH 1,6-DIISOCYANATOHEXANE HOMOPOLYMER AND ETHYLENE GLYCOL","148684-79-1"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","SULFONAMIDES, C4-8-ALKANE, PERFLUORO, N-ETHYL-N-(HYDROXYETHYL), REACTION PRODUCTS WITH 1,1'-METHYLENEBIS[4-ISOCYANATOBENZENE]","68608-14-0"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","SULFONAMIDES, C4-8-ALKANE, PERFLUORO, N-ETHYL-N-(HYDROXYETHYL)-, POLYMERS WITH 1,1'-METHYLENEBIS[4-ISOCYANATOBENZENE] AND POLYMETHYLENEPOLYPHENYLENE ISOCYANATE, 2-ETHYLHEXYL ESTERS, ME ET KETONE OXIM","178535-22-3"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","SULFONAMIDES, C4-8-ALKANE, PERFLUORO, N-METHYL-N-(OXIRANYLMETHYL)","129813-71-4"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","SULFONAMIDES, C7-8-ALKANE, PERFLUORO, N-METHYL-N-[2-[(1-OXO-2-PROPENYL) OXY]ETHYL], POLYMERS WITH 2-ETHOXYETHYL ACRYLATE","98999-57-6"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","SULFONAMIDES,C4-8-ALKANE, PERFLUORO, N-(HYDROXYETHYL)-N-METHYL, REACTION PRODUCTS WITHEPICHLOROHYDRIN, ADIPATES (ESTERS)","91081-99-1"
"PERFLUOROCARBONS (PFCS)","BUTANE, DECAFLUORO-","355-25-9"
"PERFLUOROCARBONS (PFCS)","CARBON-TETRAFLUORIDE","75-73-0"
"PERFLUOROCARBONS (PFCS)","CYCLOBUTANE, OCTAFLUORO-","115-25-3"
"PERFLUOROCARBONS (PFCS)","OCTAFLUOROPROPANE","76-19-7"
"PERFLUOROCARBONS (PFCS)","PERFLUOROETHANE","76-16-4"
"PERFLUOROCARBONS (PFCS)","PERFLUOROHEXANE","355-42-0"
"PERFLUOROCARBONS (PFCS)","PERFLUOROPENTANE","678-26-2"
"PHTHALATES","1,2-BENZENEDICARBOXYLIC ACID, DI-C6-8-BRANCHED ALKYL ESTERS, C7-RICH","71888-89-6"
"PHTHALATES","1,2-BENZENEDICARBOXYLIC ACID, DI-C7-11-BRANCHED AND LINEAR ALKYL ESTERS","68515-42-4"
"PHTHALATES","DI-N-OCTYLPHTHALATE (DNOP)","117-84-0"
"PHTHALATES","DIETHYL-PHTHALATE","84-66-2"
"PHTHALATES","DIISODECYL PHTHALATE","68515-49-1"
"PHTHALATES","DIMETHYL-PHTHALATE","131-11-3"
"PHTHALATES","poly(ethylene terephthalate)","29154-49-2"
"POLYBROMINATED BIPHENYLS (PBBs)","2,4,5,2',4',5'-HEXABROMOBIPHENYL","67774-32-7"
"POLYBROMINATED BIPHENYLS (PBBs)","2-Bromobiphenyl","2052-07-5"
"POLYBROMINATED BIPHENYLS (PBBs)","3-Bromobiphenyl","2113-57-7"
"POLYBROMINATED BIPHENYLS (PBBs)","BIPHENYL, 4,4'-DIBROMO- (8CI)","92-86-4"
"POLYBROMINATED BIPHENYLS (PBBs)","Decabromobiphenyl","13654-09-6"
"POLYBROMINATED BIPHENYLS (PBBs)","FIREMASTER BP-6","59536-65-1"
"POLYBROMINATED BIPHENYLS (PBBs)","HEXABROMO-1,1'-BIPHENYL","36355-01-8"
"POLYBROMINATED BIPHENYLS (PBBs)","TRIBROMOBIPHENYL","59080-34-1"
"POLYBROMINATED DIPHENYL ETHERS (PBDEs)","Decabromodiphenyl ether","1163-19-5"
"POLYCHLOROBIPHENYLS AND DERIVATES (PCBS)","1,1'-BIPHENYL, CHLORO DERIVS.","1336-36-3"
"POLYCHLOROBIPHENYLS AND DERIVATES (PCBS)","AROCHLOR 1254","11097-69-1"
"POLYCHLOROBIPHENYLS AND DERIVATES (PCBS)","CHLORODIPHENYL (42% CHLORINE)","53469-21-9"
"POLYCHLOROBIPHENYLS AND DERIVATES (PCBS)","POLYCHLORINATED BIPHENYL (AROCLOR 1260)","11096-82-5"
"POLYCHLOROTERPHENYLS AND DERIVATIVES (PCTS)","CHLORINATED TERPHENYL","61788-33-8"
"Perchlorates","AMMONIUM-PERCHLORATE","7790-98-9"
"Perchlorates","BARIUM-PERCHLORATE","13465-95-7"
"Perchlorates","LITHIUM PERCHLORATE","7791-03-9"
"Perchlorates","MAGNESIUM PERCHLORATE","10034-81-8"
"Perchlorates","POTASSIUM-PERCHLORATE","7778-74-7"
"Perchlorates","Perchlorate","14797-73-0"
"Perchlorates","RUBIDIUM PERCHLORATE","13510-42-4"
"Perchlorates","SODIUM-PERCHLORATE","7601-89-0"
"Perchlorates","ZINC PERCHLORATE","10025-64-6"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM BROMIDE","7789-39-1"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM CARBONATE","584-09-8"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM CHLORIDE","7791-11-9"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM FLUORIDE","13446-74-7"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM HYDRIDE","13446-75-8"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM HYDROXIDE","1310-82-3"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM IODIDE","7790-29-6"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM NITRATE","13126-12-0"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM OXIDE","18088-11-4"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM PERCHLORATE","13510-42-4"
"RUBIDIUM AND RUBIDIUM COMPOUNDS","RUBIDIUM TELLURIDE","12210-70-7"
"RoHS Phthalates","BUTYL BENZYL PHTHALATE","85-68-7"
"RoHS Phthalates","Bis (2-ethylhexyl) phthalate (DEHP)","117-81-7"
"RoHS Phthalates","DIISOBUTYL-PHTHALATE","84-69-5"
"RoHS Phthalates","Dibutyl Phthalate","84-74-2"
"SELENIUM AND SELENIUM COMPOUNDS","Dimethyl selenide","593-739-3"
"SELENIUM AND SELENIUM COMPOUNDS","MERCURY (II) SELENIDE","20601-83-6"
"SELENIUM AND SELENIUM COMPOUNDS","NICKEL SELENATE","15060-62-5"
"SELENIUM AND SELENIUM COMPOUNDS","NICKEL SELENIDE","1314-05-2"
"SELENIUM AND SELENIUM COMPOUNDS","SELENIUM SULFIDE","7446-34-6"
"SELENIUM AND SELENIUM COMPOUNDS","Selenium","7782-49-2"
"SELENIUM AND SELENIUM COMPOUNDS","Selenium dioxide","7746-08-4"
"SELENIUM AND SELENIUM COMPOUNDS","Selenium oxide","12640-89-0"
"SELENIUM AND SELENIUM COMPOUNDS","Sodium selenate","10112-94-4"
"SELENIUM AND SELENIUM COMPOUNDS","Sodium selenide","1313-85-5"
"SHORT-CHAINED CHLORINATED PARAFFINS","ALKANES, C10-13, CHLORO","85535-84-8"
"SHORT-CHAINED CHLORINATED PARAFFINS","ALKANES, C12-13, CHLORO","71011-12-6"
"ANTIMONY AND ANTIMONY COMPOUNDS","Polyethylene terephthalate (PET)","25038-59-9"
"ANTIMONY AND ANTIMONY COMPOUNDS","Misc., not to declare","MISC"
"","modifySubstanceTest0","TestCasNo0"
"ANTIMONY AND ANTIMONY COMPOUNDS","modifySubstanceTest1","TestCasNo1"
"CreateGrpTest","TestSubstance2","TestCasNo2"
"","SubstGrpTest1","SubstGrpTest1"
"ANTIMONY AND ANTIMONY COMPOUNDS","SubstGrpTestChangeNameTest","SubstGrpTest2"
"CreateGrpTest2","SubstGrpTest3","SubstGrpTest3"
"CreateGrpTest2","SubstGrpTest4","SubstGrpTest4"
"CreateGrpTest2","SubstGrpTestChangeNameTest2","SubstGrpTest5"
"commonGrpForLevel2Sub","Level2SubNewUniqueGrpCreationTest2","Level2SubNewUniqueGrpCreationTest2"
"commonGrpForLevel2Sub","Level2SubNewUniqueGrpCreationTest1","Level2SubNewUniqueGrpCreationTest1"
